Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
03050010;Cloprostenol 20 ml;188;;;Simple;No usa
03050011;Florfenicol y diclofenac 100ml;177;;;Simple;No usa
03050012;Tilosina 20gr ;84;;;Simple;No usa
03050013;Tilvalosina 85 %;181;;;Simple;No usa
03050014;Amox 200 mg y ácido clav 50 mg;110;;;Simple;No usa
03050015;Cefalexina 250 ml ;171;;;Simple;No usa
03050016;Amoxicilina 20mg x 100ml;187;;;Simple;No usa
03050017;Enrofloxacina al 5%  100 ml;175;;;Simple;No usa
03050018;Ceftiofur 0.5g 100ml LA;194;;;Simple;No usa
03050019;Penicilina y estreptom. 20ml;193;;;Simple;No usa
03050020;Enrofloxacina al 10% 100 ml;195;;;Simple;No usa
03060001;Ketoprofeno 10% 50ml ;102;;;Simple;No usa
03060002;Dexametasona 50 ml;148;;;Simple;No usa
03060003;Meglumina de flunixin 5%;184;;;Simple;No usa
03060004;Meloxicam 2.0g;191;;;Simple;No usa
03060005;Triamcinolona 0.2g 100ml;192;;;Simple;No usa
03060006;Dexametasona 100ml;196;;;Simple;No usa
03070001;Clorhidrato de lidocaína 100ml;109;;;Simple;No usa
03080001;Dipirona 100 ml;81;;;Simple;No usa
03090001;Vitamina K1 50 ml;183;;;Simple;No usa
03100001;Membutona 100 mg 100 ml;88;;;Simple;No usa
03100002;Alcachofa y cloruro de colina;30 gr - 28 gr;;;Simple;No usa
03100003;Butafosfan y Vitamina B12;190;;;Simple;No usa
03110001;Oxitocina pituitaria 50 ml;85;;;Simple;No usa
03110002;Progestágeno sint. 540 ml;107;Regumate;;Simple;No usa
03110003;Cloprostenol 75% 20 ml;169;;;Simple;No usa
03110004;Gonadotrofina Ecg + Hcg 25ml;167;;;Simple;No usa
03110005;Dinoprost y trometamina 5 mg;189;;;Simple;No usa
03120001;Hierro 20g 100 ml ;100;;;Simple;No usa
03120002;Vitamínico ADE 3 250 ml;121;;;Simple;No usa
03120003;Compl. vitam. roborante 250 ml;173;;;Simple;No usa
03120004;Vitamina B12 100 ml;;;;Simple;No usa
03120005;Vitamina A, D y E 250 ml;121;;;Simple;No usa
03120006;Com. vitamínico y aminoácidos;185;;;Simple;No usa
03130001;Mosquicida x1 kg;13;;;Simple;No usa
03130004;Rodenticida x 1 kg;156;;;Simple;No usa
03130006;Mosquicida x 400 gr ;127;;;Simple;No usa
03130007;Mosquicida x 5kg;160;;;Simple;No usa
03130008;Rodenticida x 10 kg;129;;;Simple;No usa
03130009;Desengrasante y desinfectante;136;;;Simple;No usa
03130010;Desinfectante;158;;;Simple;No usa
03130011;Desinfectante virucida polvo;KG;;;Simple;No usa
03130012;Mosquicida x 250 gr;;;;Simple;No usa
04010001;Maíz ;;;;Simple;No usa
04010002;Expeller de soja;;;;Simple;No usa
04010003;Pellet de alfa;;;;Simple;No usa
04010004;Azúcar p/ fórmula;;;;Simple;No usa
04010005;Aceite de soja desgomado;;;;Simple;No usa
04010006;Soja;;;;Simple;No usa
04010007;Fibra sintética ;;;;Simple;No usa
04010008;Trigo;;;;Simple;No usa
04020001;Fase 1;;;;Simple;No usa
04020002;Fase 2;;;;Simple;No usa
04020003;Fase 3;;;;Simple;No usa
04020004;Fase 4;;;;Simple;No usa
04020005;Terminador;;;;Simple;No usa
04020006;Desarrollo;;;;Simple;No usa
04020007;Gestación;;;;Simple;No usa
04020008;Lactancia;;;;Simple;No usa
04020009;Reposición ;;;;Simple;No usa
